sample_id,image,text,label
13773,13773.jpg,13773.txt,negative
22303,22303.jpg,22303.txt,positive
12393,12393.jpg,12393.txt,positive
7408,7408.jpg,7408.txt,negative
4778,4778.jpg,4778.txt,negative
10102,10102.jpg,10102.txt,negative
22589,22589.jpg,22589.txt,positive
7329,7329.jpg,7329.txt,positive
3559,3559.jpg,3559.txt,negative
10145,10145.jpg,10145.txt,negative
14325,14325.jpg,14325.txt,negative
8532,8532.jpg,8532.txt,negative
3426,3426.jpg,3426.txt,negative
7884,7884.jpg,7884.txt,negative
21323,21323.jpg,21323.txt,positive
6438,6438.jpg,6438.txt,negative
7503,7503.jpg,7503.txt,positive
10321,10321.jpg,10321.txt,positive
4768,4768.jpg,4768.txt,positive
9689,9689.jpg,9689.txt,negative
11185,11185.jpg,11185.txt,positive
17429,17429.jpg,17429.txt,negative
15003,15003.jpg,15003.txt,negative
10449,10449.jpg,10449.txt,positive
18537,18537.jpg,18537.txt,negative
20303,20303.jpg,20303.txt,positive
8790,8790.jpg,8790.txt,negative
22450,22450.jpg,22450.txt,negative
9740,9740.jpg,9740.txt,negative
7289,7289.jpg,7289.txt,negative
7974,7974.jpg,7974.txt,positive
8234,8234.jpg,8234.txt,negative
18567,18567.jpg,18567.txt,positive
20354,20354.jpg,20354.txt,positive
20832,20832.jpg,20832.txt,negative
4749,4749.jpg,4749.txt,positive
7265,7265.jpg,7265.txt,positive
7664,7664.jpg,7664.txt,positive
15813,15813.jpg,15813.txt,positive
22164,22164.jpg,22164.txt,negative
2937,2937.jpg,2937.txt,positive
7787,7787.jpg,7787.txt,positive
13351,13351.jpg,13351.txt,positive
13334,13334.jpg,13334.txt,positive
8986,8986.jpg,8986.txt,negative
14510,14510.jpg,14510.txt,negative
15843,15843.jpg,15843.txt,positive
13825,13825.jpg,13825.txt,negative
8676,8676.jpg,8676.txt,negative
17473,17473.jpg,17473.txt,positive
22718,22718.jpg,22718.txt,negative
9291,9291.jpg,9291.txt,negative
12863,12863.jpg,12863.txt,negative
18904,18904.jpg,18904.txt,negative
15226,15226.jpg,15226.txt,negative
9502,9502.jpg,9502.txt,negative
14632,14632.jpg,14632.txt,negative
4909,4909.jpg,4909.txt,positive
15264,15264.jpg,15264.txt,negative
10869,10869.jpg,10869.txt,positive
4141,4141.jpg,4141.txt,positive
7398,7398.jpg,7398.txt,negative
13135,13135.jpg,13135.txt,positive
11172,11172.jpg,11172.txt,negative
8459,8459.jpg,8459.txt,positive
9998,9998.jpg,9998.txt,negative
19002,19002.jpg,19002.txt,positive
7403,7403.jpg,7403.txt,negative
7643,7643.jpg,7643.txt,positive
19136,19136.jpg,19136.txt,positive
21331,21331.jpg,21331.txt,negative
22076,22076.jpg,22076.txt,negative
9468,9468.jpg,9468.txt,negative
13190,13190.jpg,13190.txt,negative
4070,4070.jpg,4070.txt,negative
20443,20443.jpg,20443.txt,positive
19478,19478.jpg,19478.txt,negative
10083,10083.jpg,10083.txt,negative
8505,8505.jpg,8505.txt,positive
18325,18325.jpg,18325.txt,positive
5969,5969.jpg,5969.txt,negative
21105,21105.jpg,21105.txt,negative
22791,22791.jpg,22791.txt,negative
6274,6274.jpg,6274.txt,positive
10443,10443.jpg,10443.txt,positive
9363,9363.jpg,9363.txt,negative
20613,20613.jpg,20613.txt,positive
12626,12626.jpg,12626.txt,negative
8329,8329.jpg,8329.txt,positive
20431,20431.jpg,20431.txt,negative
16542,16542.jpg,16542.txt,positive
4848,4848.jpg,4848.txt,positive
11177,11177.jpg,11177.txt,negative
20918,20918.jpg,20918.txt,positive
