sample_id,image,text,label
5219,5219.jpg,5219.txt,positive
22696,22696.jpg,22696.txt,negative
20847,20847.jpg,20847.txt,positive
10111,10111.jpg,10111.txt,negative
14275,14275.jpg,14275.txt,negative
4749,4749.jpg,4749.txt,positive
8427,8427.jpg,8427.txt,negative
9063,9063.jpg,9063.txt,positive
14823,14823.jpg,14823.txt,positive
18022,18022.jpg,18022.txt,positive
2999,2999.jpg,2999.txt,negative
17535,17535.jpg,17535.txt,negative
11053,11053.jpg,11053.txt,positive
22282,22282.jpg,22282.txt,negative
21656,21656.jpg,21656.txt,positive
14485,14485.jpg,14485.txt,positive
9225,9225.jpg,9225.txt,negative
19605,19605.jpg,19605.txt,negative
12958,12958.jpg,12958.txt,negative
2590,2590.jpg,2590.txt,negative
20695,20695.jpg,20695.txt,positive
19851,19851.jpg,19851.txt,positive
3930,3930.jpg,3930.txt,positive
16066,16066.jpg,16066.txt,negative
9367,9367.jpg,9367.txt,negative
13729,13729.jpg,13729.txt,negative
13869,13869.jpg,13869.txt,negative
11074,11074.jpg,11074.txt,negative
2936,2936.jpg,2936.txt,negative
6307,6307.jpg,6307.txt,negative
9236,9236.jpg,9236.txt,negative
16424,16424.jpg,16424.txt,positive
17869,17869.jpg,17869.txt,positive
5059,5059.jpg,5059.txt,positive
4666,4666.jpg,4666.txt,positive
22873,22873.jpg,22873.txt,negative
3499,3499.jpg,3499.txt,negative
10726,10726.jpg,10726.txt,positive
17139,17139.jpg,17139.txt,positive
20448,20448.jpg,20448.txt,positive
5124,5124.jpg,5124.txt,positive
13046,13046.jpg,13046.txt,positive
14243,14243.jpg,14243.txt,negative
16316,16316.jpg,16316.txt,positive
8333,8333.jpg,8333.txt,positive
18198,18198.jpg,18198.txt,positive
14775,14775.jpg,14775.txt,negative
13010,13010.jpg,13010.txt,negative
20498,20498.jpg,20498.txt,positive
7031,7031.jpg,7031.txt,positive
7411,7411.jpg,7411.txt,negative
9884,9884.jpg,9884.txt,negative
17989,17989.jpg,17989.txt,positive
7246,7246.jpg,7246.txt,positive
12400,12400.jpg,12400.txt,negative
9732,9732.jpg,9732.txt,negative
3754,3754.jpg,3754.txt,negative
21541,21541.jpg,21541.txt,negative
18677,18677.jpg,18677.txt,negative
7326,7326.jpg,7326.txt,negative
9536,9536.jpg,9536.txt,positive
21174,21174.jpg,21174.txt,negative
4778,4778.jpg,4778.txt,negative
3120,3120.jpg,3120.txt,negative
17694,17694.jpg,17694.txt,positive
17870,17870.jpg,17870.txt,positive
19783,19783.jpg,19783.txt,negative
6436,6436.jpg,6436.txt,negative
10792,10792.jpg,10792.txt,negative
12868,12868.jpg,12868.txt,negative
22862,22862.jpg,22862.txt,positive
6104,6104.jpg,6104.txt,positive
6049,6049.jpg,6049.txt,positive
17588,17588.jpg,17588.txt,positive
21198,21198.jpg,21198.txt,negative
17851,17851.jpg,17851.txt,positive
20100,20100.jpg,20100.txt,positive
10042,10042.jpg,10042.txt,negative
21291,21291.jpg,21291.txt,negative
12911,12911.jpg,12911.txt,positive
19130,19130.jpg,19130.txt,negative
15340,15340.jpg,15340.txt,positive
17933,17933.jpg,17933.txt,positive
9846,9846.jpg,9846.txt,negative
13301,13301.jpg,13301.txt,positive
18466,18466.jpg,18466.txt,negative
21218,21218.jpg,21218.txt,positive
22690,22690.jpg,22690.txt,positive
3613,3613.jpg,3613.txt,negative
17683,17683.jpg,17683.txt,negative
11864,11864.jpg,11864.txt,negative
22562,22562.jpg,22562.txt,positive
9908,9908.jpg,9908.txt,negative
15336,15336.jpg,15336.txt,negative
8676,8676.jpg,8676.txt,negative
5008,5008.jpg,5008.txt,positive
9362,9362.jpg,9362.txt,positive
9790,9790.jpg,9790.txt,negative
17690,17690.jpg,17690.txt,negative
3473,3473.jpg,3473.txt,negative
3328,3328.jpg,3328.txt,negative
8435,8435.jpg,8435.txt,positive
10951,10951.jpg,10951.txt,positive
3221,3221.jpg,3221.txt,negative
10339,10339.jpg,10339.txt,positive
3880,3880.jpg,3880.txt,positive
6339,6339.jpg,6339.txt,positive
2913,2913.jpg,2913.txt,negative
17246,17246.jpg,17246.txt,positive
3898,3898.jpg,3898.txt,positive
11027,11027.jpg,11027.txt,positive
8115,8115.jpg,8115.txt,positive
7585,7585.jpg,7585.txt,positive
2653,2653.jpg,2653.txt,negative
15880,15880.jpg,15880.txt,positive
22623,22623.jpg,22623.txt,negative
2758,2758.jpg,2758.txt,negative
10105,10105.jpg,10105.txt,negative
4734,4734.jpg,4734.txt,positive
2804,2804.jpg,2804.txt,negative
19763,19763.jpg,19763.txt,negative
12626,12626.jpg,12626.txt,negative
21648,21648.jpg,21648.txt,positive
3192,3192.jpg,3192.txt,negative
3786,3786.jpg,3786.txt,positive
14335,14335.jpg,14335.txt,positive
12043,12043.jpg,12043.txt,negative
13816,13816.jpg,13816.txt,negative
18762,18762.jpg,18762.txt,positive
21745,21745.jpg,21745.txt,positive
9941,9941.jpg,9941.txt,positive
12063,12063.jpg,12063.txt,negative
8110,8110.jpg,8110.txt,negative
6767,6767.jpg,6767.txt,positive
12163,12163.jpg,12163.txt,positive
11941,11941.jpg,11941.txt,negative
12736,12736.jpg,12736.txt,positive
12018,12018.jpg,12018.txt,negative
9337,9337.jpg,9337.txt,negative
15143,15143.jpg,15143.txt,positive
15468,15468.jpg,15468.txt,positive
9914,9914.jpg,9914.txt,negative
21529,21529.jpg,21529.txt,negative
12415,12415.jpg,12415.txt,negative
20885,20885.jpg,20885.txt,positive
14662,14662.jpg,14662.txt,negative
6364,6364.jpg,6364.txt,positive
20312,20312.jpg,20312.txt,positive
16171,16171.jpg,16171.txt,positive
12590,12590.jpg,12590.txt,positive
13348,13348.jpg,13348.txt,negative
20206,20206.jpg,20206.txt,positive
22301,22301.jpg,22301.txt,negative
9866,9866.jpg,9866.txt,negative
4828,4828.jpg,4828.txt,positive
17854,17854.jpg,17854.txt,positive
9028,9028.jpg,9028.txt,negative
17115,17115.jpg,17115.txt,negative
21572,21572.jpg,21572.txt,positive
7777,7777.jpg,7777.txt,positive
18727,18727.jpg,18727.txt,positive
22167,22167.jpg,22167.txt,negative
17114,17114.jpg,17114.txt,positive
8983,8983.jpg,8983.txt,negative
21036,21036.jpg,21036.txt,negative
12608,12608.jpg,12608.txt,negative
15579,15579.jpg,15579.txt,negative
11508,11508.jpg,11508.txt,negative
14207,14207.jpg,14207.txt,negative
3462,3462.jpg,3462.txt,negative
11395,11395.jpg,11395.txt,positive
11670,11670.jpg,11670.txt,negative
10082,10082.jpg,10082.txt,positive
18770,18770.jpg,18770.txt,positive
18398,18398.jpg,18398.txt,negative
8658,8658.jpg,8658.txt,positive
3670,3670.jpg,3670.txt,positive
19965,19965.jpg,19965.txt,positive
9051,9051.jpg,9051.txt,negative
10013,10013.jpg,10013.txt,negative
8574,8574.jpg,8574.txt,positive
7072,7072.jpg,7072.txt,positive
8866,8866.jpg,8866.txt,negative
21487,21487.jpg,21487.txt,negative
19479,19479.jpg,19479.txt,positive
5477,5477.jpg,5477.txt,positive
6269,6269.jpg,6269.txt,positive
12198,12198.jpg,12198.txt,negative
13311,13311.jpg,13311.txt,positive
9114,9114.jpg,9114.txt,positive
20103,20103.jpg,20103.txt,positive
9758,9758.jpg,9758.txt,negative
12154,12154.jpg,12154.txt,positive
5387,5387.jpg,5387.txt,positive
18595,18595.jpg,18595.txt,negative
13877,13877.jpg,13877.txt,positive
13022,13022.jpg,13022.txt,positive
22791,22791.jpg,22791.txt,negative
16961,16961.jpg,16961.txt,positive
12532,12532.jpg,12532.txt,positive
9689,9689.jpg,9689.txt,negative
8312,8312.jpg,8312.txt,positive
14496,14496.jpg,14496.txt,negative
3603,3603.jpg,3603.txt,negative
3628,3628.jpg,3628.txt,negative
21610,21610.jpg,21610.txt,negative
4995,4995.jpg,4995.txt,positive
12409,12409.jpg,12409.txt,negative
21004,21004.jpg,21004.txt,negative
12441,12441.jpg,12441.txt,positive
9426,9426.jpg,9426.txt,positive
17950,17950.jpg,17950.txt,positive
19289,19289.jpg,19289.txt,negative
3394,3394.jpg,3394.txt,positive
19060,19060.jpg,19060.txt,positive
22771,22771.jpg,22771.txt,negative
6133,6133.jpg,6133.txt,positive
11996,11996.jpg,11996.txt,negative
6571,6571.jpg,6571.txt,positive
3663,3663.jpg,3663.txt,negative
8627,8627.jpg,8627.txt,negative
17947,17947.jpg,17947.txt,positive
15686,15686.jpg,15686.txt,negative
19085,19085.jpg,19085.txt,positive
13172,13172.jpg,13172.txt,negative
11894,11894.jpg,11894.txt,negative
14632,14632.jpg,14632.txt,negative
3109,3109.jpg,3109.txt,negative
8611,8611.jpg,8611.txt,positive
14533,14533.jpg,14533.txt,positive
22113,22113.jpg,22113.txt,positive
13660,13660.jpg,13660.txt,negative
21594,21594.jpg,21594.txt,negative
11483,11483.jpg,11483.txt,negative
9167,9167.jpg,9167.txt,negative
18905,18905.jpg,18905.txt,positive
17738,17738.jpg,17738.txt,negative
20136,20136.jpg,20136.txt,positive
4848,4848.jpg,4848.txt,positive
2718,2718.jpg,2718.txt,negative
2931,2931.jpg,2931.txt,negative
18656,18656.jpg,18656.txt,negative
3034,3034.jpg,3034.txt,negative
20880,20880.jpg,20880.txt,positive
9794,9794.jpg,9794.txt,negative
19679,19679.jpg,19679.txt,negative
12540,12540.jpg,12540.txt,negative
15264,15264.jpg,15264.txt,negative
14843,14843.jpg,14843.txt,positive
8891,8891.jpg,8891.txt,negative
22600,22600.jpg,22600.txt,negative
11155,11155.jpg,11155.txt,negative
14121,14121.jpg,14121.txt,positive
12615,12615.jpg,12615.txt,negative
10889,10889.jpg,10889.txt,negative
22748,22748.jpg,22748.txt,negative
2692,2692.jpg,2692.txt,negative
18904,18904.jpg,18904.txt,negative
10701,10701.jpg,10701.txt,negative
18469,18469.jpg,18469.txt,positive
18750,18750.jpg,18750.txt,positive
6678,6678.jpg,6678.txt,positive
17468,17468.jpg,17468.txt,positive
2664,2664.jpg,2664.txt,negative
8808,8808.jpg,8808.txt,positive
22152,22152.jpg,22152.txt,positive
18085,18085.jpg,18085.txt,negative
15431,15431.jpg,15431.txt,negative
9079,9079.jpg,9079.txt,negative
