epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1
1,0.0003,0.626609723992583,0.6552346570397112,0.5211031413995303,0.7475961538461539,0.7877094972067039,0.6778846153846154,0.7286821705426356
2,0.0003,0.4565137943923115,0.8002406738868832,0.45838767977861256,0.7764423076923077,0.7948717948717948,0.7451923076923077,0.7692307692307693
3,0.0003,0.3526286820642354,0.8622141997593261,0.4886641754553868,0.75,0.8023255813953488,0.6634615384615384,0.7263157894736842
4,0.0003,0.24948139601666144,0.9067388688327317,0.5023941993713379,0.7692307692307693,0.7828282828282829,0.7451923076923077,0.7635467980295566
5,0.00015,0.1561052240565796,0.9464500601684718,0.5390233855981094,0.7716346153846154,0.7839195979899497,0.75,0.7665847665847666
6,0.00015,0.11744794921969678,0.9590854392298436,0.5760837678725903,0.7764423076923077,0.7649769585253456,0.7980769230769231,0.7811764705882352
7,7.5e-05,0.084140749327686,0.9723225030084236,0.5913034539956313,0.7764423076923077,0.7674418604651163,0.7932692307692307,0.7801418439716312
8,7.5e-05,0.07078906412714941,0.983754512635379,0.624496925335664,0.7764423076923077,0.7510917030567685,0.8269230769230769,0.7871853546910755
9,3.75e-05,0.06533116145254472,0.9825511432009627,0.6246233376172873,0.7692307692307693,0.7616822429906542,0.7836538461538461,0.7725118483412322
10,3.75e-05,0.062061027203441095,0.9813477737665464,0.639131296139497,0.7764423076923077,0.7725118483412322,0.7836538461538461,0.7780429594272077
11,1.875e-05,0.05642082111822569,0.9849578820697954,0.6455583045115838,0.7692307692307693,0.7545454545454545,0.7980769230769231,0.7757009345794392
12,1.875e-05,0.05929017258823707,0.9813477737665464,0.647734460922388,0.7764423076923077,0.7649769585253456,0.7980769230769231,0.7811764705882352
